Stations: Seattle Duwamish Vly,
QMUs: Pm2.5 Nephelometer | Barometric Pressure | Light Scatter eco_9003_2 | Nitric Oxide (NO_CAPS) | Nitrogen Dioxide (NO2_CAPS) | NItrogen Oxides (NOx_CAPS) | Pm10 MetOne Bam | Pm2.5 Black Carbon_633 | Pm2.5 MetOne Bam | Pm2.5 Partisol  (daily) | Pm2.5 Partisol  (daily) collocated | Pm2.5 uv Absorbance_633 | Temperature | Visual Range | Wind Direction Sonic | Wind Speed Sonic,
Aggregates: 1-Hour Average,
Query Start Date: 5/20/2026 ,
Query End Date: 6/1/2026,
File Creation Date: 6/1/2026,
NOTE: PSCAA developed aggregates in 2017 using standards applicable at that time,,

Observation Time,Seattle Duwamish Vly - Pm25Neph - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - AmbPres - kPa - 1Hr Avg,Seattle Duwamish Vly - LightScatEc2 - bscat10 e-4 - 1Hr Avg,Seattle Duwamish Vly - Pm10MetOneBam - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Pm25bc - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Pm25MetOneBam - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Pm25uv - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Temp - degF - 1Hr Avg,Seattle Duwamish Vly - VisualRange - miles - 1Hr Avg,Seattle Duwamish Vly - WD Sonic - deg(frm N) - 1Hr Avg,Seattle Duwamish Vly - WS Sonic - mph - 1Hr Avg
5/21/2026 1:00:00 AM,4.4000000000,1022.0000000000,0.1550000000,9.6000000000,0.4360000000,6.9000000000,0.4960000000,56.0000000000,84.0000000000,319.0000000000,2.1000000000
5/21/2026 2:00:00 AM,5.6000000000,1022.0000000000,0.1970000000,24.6000000000,0.5730000000,7.7000000000,0.6500000000,55.0000000000,73.0000000000,272.0000000000,0.7000000000
5/21/2026 3:00:00 AM,5.0000000000,1021.0000000000,0.1780000000,16.8000000000,0.5490000000,10.6000000000,0.6370000000,53.0000000000,77.0000000000,279.0000000000,0.9000000000
5/21/2026 4:00:00 AM,5.4000000000,1021.0000000000,0.1920000000,20.8000000000,0.7240000000,8.2000000000,0.8230000000,53.0000000000,75.0000000000,281.0000000000,1.0000000000
5/21/2026 5:00:00 AM,7.5000000000,1022.0000000000,0.2650000000,24.7000000000,2.1210000000,8.7000000000,2.0750000000,55.0000000000,62.0000000000,307.0000000000,2.4000000000
5/21/2026 6:00:00 AM,7.0000000000,1022.0000000000,0.2490000000,16.4000000000,1.9050000000,9.2000000000,1.8510000000,58.0000000000,63.0000000000,311.0000000000,2.3000000000
5/21/2026 7:00:00 AM,7.3000000000,1022.0000000000,0.2580000000,22.6000000000,1.6240000000,11.4000000000,1.5550000000,60.0000000000,62.0000000000,319.0000000000,3.6000000000
5/21/2026 8:00:00 AM,6.8000000000,1022.0000000000,0.2390000000,30.9000000000,1.0400000000,7.3000000000,1.1340000000,63.0000000000,65.0000000000,356.0000000000,3.0000000000
5/21/2026 9:00:00 AM,6.2000000000,1021.0000000000,0.2190000000,25.1000000000,0.8480000000,8.2000000000,0.9100000000,64.0000000000,69.0000000000,323.0000000000,5.1000000000
5/21/2026 10:00:00 AM,5.2000000000,1020.0000000000,0.1820000000,22.3000000000,0.5550000000,6.7000000000,0.6110000000,66.0000000000,76.0000000000,317.0000000000,5.6000000000
5/21/2026 11:00:00 AM,4.3000000000,1020.0000000000,0.1510000000,12.5000000000,0.5340000000,5.0000000000,0.5130000000,69.0000000000,85.0000000000,312.0000000000,5.3000000000
5/21/2026 12:00:00 PM,4.6000000000,1019.0000000000,0.1630000000,25.3000000000,0.4420000000,8.0000000000,0.4750000000,71.0000000000,81.0000000000,304.0000000000,6.0000000000
5/21/2026 1:00:00 PM,4.7000000000,1018.0000000000,0.1650000000,28.2000000000,0.3890000000,7.6000000000,0.4290000000,73.0000000000,81.0000000000,304.0000000000,6.5000000000
5/21/2026 2:00:00 PM,4.6000000000,1018.0000000000,0.1640000000,23.7000000000,0.4840000000,4.5000000000,0.5440000000,76.0000000000,82.0000000000,302.0000000000,5.4000000000
5/21/2026 3:00:00 PM,4.4000000000,1017.0000000000,0.1560000000,14.8000000000,0.4960000000,5.8000000000,0.5490000000,77.0000000000,83.0000000000,303.0000000000,5.7000000000
5/21/2026 4:00:00 PM,3.8000000000,1017.0000000000,0.1350000000,17.9000000000,0.3460000000,5.4000000000,0.4360000000,77.0000000000,90.0000000000,318.0000000000,5.9000000000
5/21/2026 5:00:00 PM,4.4000000000,1016.0000000000,0.1550000000,12.1000000000,0.5250000000,4.9000000000,0.6490000000,74.0000000000,84.0000000000,307.0000000000,6.1000000000
5/21/2026 6:00:00 PM,4.5000000000,1016.0000000000,0.1580000000,12.6000000000,0.5940000000,5.3000000000,0.7060000000,72.0000000000,83.0000000000,313.0000000000,5.5000000000
5/21/2026 7:00:00 PM,5.1000000000,1016.0000000000,0.1810000000,9.5000000000,1.3810000000,8.1000000000,1.4370000000,69.0000000000,77.0000000000,312.0000000000,4.1000000000
5/21/2026 8:00:00 PM,5.0000000000,1016.0000000000,0.1780000000,15.0000000000,0.9140000000,6.4000000000,1.0350000000,68.0000000000,77.0000000000,308.0000000000,3.1000000000
5/21/2026 9:00:00 PM,5.9000000000,1016.0000000000,0.2090000000,24.0000000000,0.8390000000,6.5000000000,0.9670000000,67.0000000000,71.0000000000,312.0000000000,2.5000000000
5/21/2026 10:00:00 PM,11.0000000000,1016.0000000000,0.3900000000,78.9000000000,0.8760000000,15.4000000000,1.0620000000,64.0000000000,57.0000000000,287.0000000000,1.5000000000
5/21/2026 11:00:00 PM,4.7000000000,1016.0000000000,0.1650000000,12.2000000000,0.3960000000,6.9000000000,0.4710000000,63.0000000000,81.0000000000,23.0000000000,3.0000000000
5/22/2026 12:00:00 AM,4.0000000000,1016.0000000000,0.1410000000,8.3000000000,0.3210000000,4.4000000000,0.3730000000,61.0000000000,88.0000000000,340.0000000000,2.0000000000
5/22/2026 1:00:00 AM,4.6000000000,1015.0000000000,0.1640000000,11.1000000000,0.4300000000,6.5000000000,0.5030000000,59.0000000000,81.0000000000,289.0000000000,1.5000000000
5/22/2026 2:00:00 AM,6.3000000000,1015.0000000000,0.2220000000,21.2000000000,0.7870000000,9.7000000000,0.9160000000,58.0000000000,69.0000000000,341.0000000000,1.8000000000
5/22/2026 3:00:00 AM,6.1000000000,1015.0000000000,0.2170000000,17.5000000000,0.6070000000,6.8000000000,0.7270000000,56.0000000000,69.0000000000,268.0000000000,0.9000000000
5/22/2026 4:00:00 AM,5.1000000000,1015.0000000000,0.1820000000,8.9000000000,0.4810000000,3.8000000000,0.5640000000,55.0000000000,76.0000000000,256.0000000000,1.4000000000
5/22/2026 5:00:00 AM,6.8000000000,1015.0000000000,0.2420000000,23.5000000000,0.9590000000,6.8000000000,1.0880000000,57.0000000000,65.0000000000,298.0000000000,0.4000000000
5/22/2026 6:00:00 AM,10.3000000000,1016.0000000000,0.3640000000,47.4000000000,1.9060000000,12.7000000000,2.2360000000,62.0000000000,48.0000000000,346.0000000000,1.5000000000
5/22/2026 7:00:00 AM,10.2000000000,1015.0000000000,0.3610000000,41.3000000000,2.3010000000,11.9000000000,2.5500000000,64.0000000000,49.0000000000,338.0000000000,2.1000000000
5/22/2026 8:00:00 AM,9.5000000000,1015.0000000000,0.3370000000,27.6000000000,1.8640000000,15.1000000000,2.0840000000,66.0000000000,51.0000000000,348.0000000000,3.2000000000
5/22/2026 9:00:00 AM,8.8000000000,1015.0000000000,0.3110000000,31.1000000000,1.6600000000,8.8000000000,1.9010000000,69.0000000000,54.0000000000,345.0000000000,3.6000000000
5/22/2026 10:00:00 AM,6.1000000000,1014.0000000000,0.2170000000,27.3000000000,0.8010000000,6.2000000000,0.9560000000,71.0000000000,69.0000000000,332.0000000000,4.6000000000
5/22/2026 11:00:00 AM,6.1000000000,1014.0000000000,0.2160000000,26.6000000000,0.5890000000,8.5000000000,0.7190000000,73.0000000000,70.0000000000,331.0000000000,4.7000000000
5/22/2026 12:00:00 PM,4.1000000000,1013.0000000000,0.1450000000,18.6000000000,0.3710000000,6.1000000000,0.4530000000,74.0000000000,87.0000000000,313.0000000000,5.2000000000
5/22/2026 1:00:00 PM,3.5000000000,1012.0000000000,0.1230000000,13.0000000000,0.2840000000,3.4000000000,0.3450000000,77.0000000000,94.0000000000,337.0000000000,4.4000000000
5/22/2026 2:00:00 PM,4.6000000000,1012.0000000000,0.1630000000,13.7000000000,0.3920000000,3.7000000000,0.4770000000,78.0000000000,82.0000000000,326.0000000000,4.9000000000
5/22/2026 3:00:00 PM,4.1000000000,1011.0000000000,0.1440000000,14.6000000000,0.5570000000,5.5000000000,0.6150000000,79.0000000000,87.0000000000,318.0000000000,4.9000000000
5/22/2026 4:00:00 PM,3.7000000000,1011.0000000000,0.1300000000,14.3000000000,0.6610000000,7.6000000000,0.7320000000,78.0000000000,92.0000000000,305.0000000000,5.5000000000
5/22/2026 5:00:00 PM,3.2000000000,1011.0000000000,0.1120000000,27.6000000000,0.5840000000,4.7000000000,0.6490000000,74.0000000000,99.0000000000,303.0000000000,6.7000000000
5/22/2026 6:00:00 PM,2.9000000000,1011.0000000000,0.1020000000,11.7000000000,0.4310000000,4.2000000000,0.5010000000,71.0000000000,103.0000000000,307.0000000000,6.1000000000
5/22/2026 7:00:00 PM,2.7000000000,1011.0000000000,0.0940000000,10.0000000000,0.3700000000,4.2000000000,0.4300000000,69.0000000000,106.0000000000,301.0000000000,3.9000000000
5/22/2026 8:00:00 PM,2.5000000000,1011.0000000000,0.0870000000,5.6000000000,0.3130000000,3.0000000000,0.3720000000,68.0000000000,109.0000000000,306.0000000000,3.0000000000
5/22/2026 9:00:00 PM,3.2000000000,1011.0000000000,0.1120000000,14.0000000000,0.7020000000,3.7000000000,0.8240000000,67.0000000000,99.0000000000,335.0000000000,1.8000000000
5/22/2026 10:00:00 PM,3.6000000000,1011.0000000000,0.1280000000,13.6000000000,0.7550000000,2.5000000000,0.9440000000,64.0000000000,93.0000000000,314.0000000000,1.7000000000
5/22/2026 11:00:00 PM,4.4000000000,1011.0000000000,0.1570000000,13.1000000000,0.7070000000,7.5000000000,0.9460000000,61.0000000000,83.0000000000,257.0000000000,1.0000000000
5/23/2026 12:00:00 AM,3.7000000000,1012.0000000000,0.1300000000,7.8000000000,0.4880000000,5.6000000000,0.6450000000,59.0000000000,92.0000000000,271.0000000000,2.0000000000
5/23/2026 1:00:00 AM,3.3000000000,1012.0000000000,0.1150000000,6.9000000000,0.3270000000,2.3000000000,0.4020000000,58.0000000000,97.0000000000,258.0000000000,2.5000000000
5/23/2026 2:00:00 AM,3.0000000000,1012.0000000000,0.1040000000,7.3000000000,0.2240000000,3.7000000000,0.2690000000,57.0000000000,102.0000000000,199.0000000000,4.0000000000
5/23/2026 3:00:00 AM,2.6000000000,1013.0000000000,0.0920000000,9.5000000000,0.1150000000,3.7000000000,0.1280000000,55.0000000000,107.0000000000,198.0000000000,4.4000000000
5/23/2026 4:00:00 AM,2.6000000000,1013.0000000000,0.0910000000,5.0000000000,0.0950000000,0.7000000000,0.0960000000,54.0000000000,107.0000000000,183.0000000000,4.8000000000
5/23/2026 5:00:00 AM,2.4000000000,1014.0000000000,0.0830000000,5.2000000000,0.0750000000,1.3000000000,0.0680000000,54.0000000000,111.0000000000,189.0000000000,4.5000000000
5/23/2026 6:00:00 AM,2.2000000000,1014.0000000000,0.0760000000,7.6000000000,0.0750000000,2.2000000000,0.0700000000,55.0000000000,115.0000000000,193.0000000000,4.6000000000
5/23/2026 7:00:00 AM,2.0000000000,1015.0000000000,0.0710000000,8.9000000000,0.0930000000,2.2000000000,0.0930000000,55.0000000000,118.0000000000,192.0000000000,5.4000000000
5/23/2026 8:00:00 AM,2.5000000000,1016.0000000000,0.0870000000,8.4000000000,0.0970000000,2.2000000000,0.1000000000,56.0000000000,110.0000000000,201.0000000000,5.3000000000
5/23/2026 9:00:00 AM,2.1000000000,1016.0000000000,0.0720000000,5.7000000000,0.0930000000,1.7000000000,0.0940000000,56.0000000000,118.0000000000,197.0000000000,5.6000000000
5/23/2026 10:00:00 AM,2.3000000000,1016.0000000000,0.0820000000,7.4000000000,0.0750000000,1.2000000000,0.0780000000,58.0000000000,112.0000000000,195.0000000000,5.2000000000
5/23/2026 11:00:00 AM,2.3000000000,1017.0000000000,0.0790000000,6.6000000000,0.0870000000,3.4000000000,0.0920000000,58.0000000000,113.0000000000,191.0000000000,4.4000000000
5/23/2026 12:00:00 PM,2.5000000000,1017.0000000000,0.0890000000,3.8000000000,0.1020000000,2.7000000000,0.1180000000,59.0000000000,109.0000000000,193.0000000000,4.8000000000
5/23/2026 1:00:00 PM,2.9000000000,1016.0000000000,0.1010000000,1.8000000000,0.1210000000,2.5000000000,0.1420000000,61.0000000000,103.0000000000,204.0000000000,5.5000000000
5/23/2026 2:00:00 PM,2.9000000000,1016.0000000000,0.1030000000,4.9000000000,0.1220000000,2.5000000000,0.1470000000,63.0000000000,102.0000000000,206.0000000000,6.1000000000
5/23/2026 3:00:00 PM,3.0000000000,1015.0000000000,0.1050000000,4.9000000000,0.1510000000,2.3000000000,0.1910000000,66.0000000000,101.0000000000,207.0000000000,4.2000000000
5/23/2026 4:00:00 PM,3.1000000000,1015.0000000000,0.1090000000,3.8000000000,0.1480000000,2.6000000000,0.1970000000,67.0000000000,100.0000000000,248.0000000000,3.0000000000
5/23/2026 5:00:00 PM,3.4000000000,1015.0000000000,0.1210000000,3.1000000000,0.1730000000,5.9000000000,0.2460000000,68.0000000000,95.0000000000,211.0000000000,2.5000000000
5/23/2026 6:00:00 PM,3.8000000000,1015.0000000000,0.1340000000,4.6000000000,0.2210000000,5.8000000000,0.3000000000,67.0000000000,90.0000000000,241.0000000000,1.9000000000
5/23/2026 7:00:00 PM,4.4000000000,1015.0000000000,0.1550000000,11.1000000000,0.2320000000,4.3000000000,0.3200000000,65.0000000000,84.0000000000,239.0000000000,3.1000000000
5/23/2026 8:00:00 PM,5.3000000000,1016.0000000000,0.1870000000,9.8000000000,0.3340000000,4.8000000000,0.4660000000,64.0000000000,75.0000000000,298.0000000000,2.7000000000
5/23/2026 9:00:00 PM,5.0000000000,1016.0000000000,0.1760000000,10.8000000000,0.4200000000,6.2000000000,0.5530000000,62.0000000000,78.0000000000,349.0000000000,2.7000000000
5/23/2026 10:00:00 PM,6.2000000000,1016.0000000000,0.2190000000,12.7000000000,0.3290000000,6.5000000000,0.5040000000,60.0000000000,68.0000000000,359.0000000000,4.3000000000
5/23/2026 11:00:00 PM,6.5000000000,1016.0000000000,0.2290000000,13.1000000000,0.3410000000,7.7000000000,0.5580000000,60.0000000000,66.0000000000,9.0000000000,3.7000000000
5/24/2026 12:00:00 AM,5.7000000000,1017.0000000000,0.2010000000,13.0000000000,0.2420000000,6.7000000000,0.3880000000,58.0000000000,72.0000000000,14.0000000000,4.5000000000
5/24/2026 1:00:00 AM,4.6000000000,1017.0000000000,0.1630000000,12.6000000000,0.1850000000,7.0000000000,0.2610000000,56.0000000000,81.0000000000,23.0000000000,5.0000000000
5/24/2026 2:00:00 AM,4.2000000000,1017.0000000000,0.1480000000,12.0000000000,0.1450000000,5.5000000000,0.2110000000,56.0000000000,86.0000000000,25.0000000000,2.2000000000
5/24/2026 3:00:00 AM,3.9000000000,1017.0000000000,0.1380000000,8.3000000000,0.1440000000,5.6000000000,0.2140000000,56.0000000000,89.0000000000,71.0000000000,2.3000000000
5/24/2026 4:00:00 AM,4.8000000000,1017.0000000000,0.1700000000,10.9000000000,0.1780000000,7.9000000000,0.2560000000,56.0000000000,80.0000000000,203.0000000000,1.7000000000
5/24/2026 5:00:00 AM,5.3000000000,1017.0000000000,0.1880000000,13.2000000000,0.1810000000,10.4000000000,0.2420000000,55.0000000000,75.0000000000,193.0000000000,3.0000000000
5/24/2026 6:00:00 AM,5.8000000000,1017.0000000000,0.2040000000,13.3000000000,0.1900000000,8.8000000000,0.2480000000,55.0000000000,71.0000000000,191.0000000000,3.3000000000
5/24/2026 7:00:00 AM,5.6000000000,1018.0000000000,0.1990000000,15.7000000000,0.2270000000,8.6000000000,0.2890000000,56.0000000000,73.0000000000,208.0000000000,4.9000000000
5/24/2026 8:00:00 AM,5.2000000000,1018.0000000000,0.1840000000,12.6000000000,0.2110000000,6.4000000000,0.2640000000,56.0000000000,76.0000000000,194.0000000000,3.9000000000
5/24/2026 9:00:00 AM,4.8000000000,1017.0000000000,0.1700000000,9.6000000000,0.1390000000,5.9000000000,0.1780000000,60.0000000000,80.0000000000,257.0000000000,3.0000000000
5/24/2026 10:00:00 AM,5.5000000000,1017.0000000000,0.1940000000,12.4000000000,0.1770000000,4.8000000000,0.2270000000,64.0000000000,74.0000000000,207.0000000000,3.1000000000
5/24/2026 11:00:00 AM,5.7000000000,1016.0000000000,0.2030000000,16.1000000000,0.2610000000,7.8000000000,0.4000000000,66.0000000000,72.0000000000,303.0000000000,4.0000000000
5/24/2026 12:00:00 PM,5.7000000000,1015.0000000000,0.2010000000,15.7000000000,0.2660000000,7.4000000000,0.3610000000,67.0000000000,72.0000000000,252.0000000000,3.9000000000
5/24/2026 1:00:00 PM,4.9000000000,1014.0000000000,0.1750000000,13.2000000000,0.2190000000,6.5000000000,0.2980000000,69.0000000000,78.0000000000,202.0000000000,3.3000000000
5/24/2026 2:00:00 PM,4.9000000000,1013.0000000000,0.1720000000,12.3000000000,0.1370000000,3.6000000000,0.1840000000,71.0000000000,79.0000000000,200.0000000000,3.4000000000
5/24/2026 3:00:00 PM,4.3000000000,1012.0000000000,0.1500000000,9.1000000000,0.1160000000,5.2000000000,0.1580000000,74.0000000000,85.0000000000,210.0000000000,3.4000000000
5/24/2026 4:00:00 PM,3.6000000000,1011.0000000000,0.1250000000,8.5000000000,0.1540000000,3.8000000000,0.2070000000,74.0000000000,93.0000000000,190.0000000000,3.8000000000
5/24/2026 5:00:00 PM,4.1000000000,1010.0000000000,0.1430000000,8.5000000000,0.1620000000,4.2000000000,0.2580000000,74.0000000000,87.0000000000,191.0000000000,4.4000000000
5/24/2026 6:00:00 PM,4.6000000000,1009.0000000000,0.1610000000,7.2000000000,0.2190000000,3.9000000000,0.4140000000,73.0000000000,82.0000000000,184.0000000000,4.3000000000
5/24/2026 7:00:00 PM,5.4000000000,1009.0000000000,0.1900000000,14.7000000000,0.5510000000,5.9000000000,0.8590000000,71.0000000000,75.0000000000,173.0000000000,3.5000000000
5/24/2026 8:00:00 PM,6.8000000000,1009.0000000000,0.2410000000,15.2000000000,1.2480000000,7.8000000000,1.7110000000,69.0000000000,65.0000000000,173.0000000000,2.4000000000
5/24/2026 9:00:00 PM,5.4000000000,1009.0000000000,0.1910000000,15.8000000000,0.6290000000,8.7000000000,0.9400000000,69.0000000000,75.0000000000,206.0000000000,5.9000000000
5/24/2026 10:00:00 PM,3.6000000000,1009.0000000000,0.1250000000,16.0000000000,0.1640000000,5.2000000000,0.2530000000,66.0000000000,94.0000000000,215.0000000000,7.5000000000
5/24/2026 11:00:00 PM,2.1000000000,1009.0000000000,0.0750000000,11.2000000000,0.0920000000,2.3000000000,0.1020000000,64.0000000000,116.0000000000,213.0000000000,6.8000000000
5/25/2026 12:00:00 AM,1.7000000000,1009.0000000000,0.0610000000,7.3000000000,0.1470000000,4.2000000000,0.1830000000,62.0000000000,124.0000000000,161.0000000000,4.3000000000
5/25/2026 1:00:00 AM,2.3000000000,1008.0000000000,0.0790000000,6.7000000000,0.2200000000,4.9000000000,0.2780000000,60.0000000000,114.0000000000,156.0000000000,4.9000000000
5/25/2026 2:00:00 AM,2.5000000000,1008.0000000000,0.0860000000,7.0000000000,0.1430000000,2.1000000000,0.1840000000,58.0000000000,110.0000000000,178.0000000000,4.5000000000
5/25/2026 3:00:00 AM,2.6000000000,1008.0000000000,0.0920000000,8.2000000000,0.1360000000,2.1000000000,0.1690000000,57.0000000000,107.0000000000,176.0000000000,4.3000000000
5/25/2026 4:00:00 AM,2.8000000000,1008.0000000000,0.1000000000,5.3000000000,0.1680000000,4.0000000000,0.1920000000,57.0000000000,103.0000000000,170.0000000000,3.8000000000
5/25/2026 5:00:00 AM,3.0000000000,1008.0000000000,0.1070000000,6.9000000000,0.1280000000,4.0000000000,0.1370000000,57.0000000000,100.0000000000,176.0000000000,4.6000000000
5/25/2026 6:00:00 AM,3.6000000000,1008.0000000000,0.1270000000,12.6000000000,0.3250000000,3.2000000000,0.3750000000,57.0000000000,93.0000000000,149.0000000000,5.5000000000
5/25/2026 7:00:00 AM,3.7000000000,1008.0000000000,0.1320000000,15.9000000000,0.3440000000,2.4000000000,0.4090000000,59.0000000000,91.0000000000,145.0000000000,6.5000000000
5/25/2026 8:00:00 AM,3.6000000000,1008.0000000000,0.1270000000,14.5000000000,0.1920000000,3.0000000000,0.2350000000,61.0000000000,93.0000000000,175.0000000000,5.7000000000
5/25/2026 9:00:00 AM,3.6000000000,1008.0000000000,0.1290000000,13.0000000000,0.2980000000,2.9000000000,0.3410000000,61.0000000000,92.0000000000,189.0000000000,6.6000000000
5/25/2026 10:00:00 AM,3.5000000000,1008.0000000000,0.1230000000,14.0000000000,0.3530000000,7.0000000000,0.4080000000,60.0000000000,94.0000000000,207.0000000000,6.3000000000
5/25/2026 11:00:00 AM,2.1000000000,1008.0000000000,0.0730000000,13.2000000000,0.1120000000,5.9000000000,0.1460000000,61.0000000000,117.0000000000,209.0000000000,7.8000000000
5/25/2026 12:00:00 PM,1.9000000000,1008.0000000000,0.0650000000,11.9000000000,0.1330000000,2.5000000000,0.1720000000,59.0000000000,122.0000000000,206.0000000000,6.3000000000
5/25/2026 1:00:00 PM,2.4000000000,1009.0000000000,0.0860000000,7.4000000000,0.2100000000,1.8000000000,0.2680000000,57.0000000000,110.0000000000,199.0000000000,6.5000000000
