Stations: Seattle Duwamish Vly,
QMUs: Light Scatter eco_9003_2 | Pm2.5 MetOne Bam | Pm2.5 Nephelometer,
Aggregates: 1-Hour Average,
Query Start Date: 5/20/2026 ,
Query End Date: 6/1/2026,
File Creation Date: 6/1/2026,
NOTE: PSCAA developed aggregates in 2017 using standards applicable at that time,,

Observation Time,Seattle Duwamish Vly - LightScatEc2 - bscat10 e-4 - 1Hr Avg,Seattle Duwamish Vly - Pm25MetOneBam - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Pm25Neph - ug/m3 - 1Hr Avg
5/25/2026 8:00:00 PM,0.0540000000,2.7000000000,1.6000000000
5/25/2026 9:00:00 PM,0.0660000000,4.5000000000,1.9000000000
5/25/2026 10:00:00 PM,0.0640000000,4.7000000000,1.8000000000
5/25/2026 11:00:00 PM,0.0690000000,3.4000000000,2.0000000000
5/26/2026 12:00:00 AM,0.0860000000,0.7000000000,2.4000000000
5/26/2026 1:00:00 AM,0.0810000000,3.1000000000,2.3000000000
5/26/2026 2:00:00 AM,0.0810000000,5.2000000000,2.3000000000
5/26/2026 3:00:00 AM,0.0710000000,4.3000000000,2.0000000000
5/26/2026 4:00:00 AM,0.0740000000,4.3000000000,2.1000000000
5/26/2026 5:00:00 AM,0.1290000000,4.0000000000,3.7000000000
5/26/2026 6:00:00 AM,0.1260000000,4.7000000000,3.6000000000
5/26/2026 7:00:00 AM,0.0800000000,3.9000000000,2.3000000000
5/26/2026 8:00:00 AM,0.0550000000,2.1000000000,1.6000000000
5/26/2026 9:00:00 AM,0.0480000000,3.0000000000,1.4000000000
5/26/2026 10:00:00 AM,0.0610000000,2.1000000000,1.7000000000
5/26/2026 11:00:00 AM,0.0740000000,2.0000000000,2.1000000000
5/26/2026 12:00:00 PM,0.0870000000,2.1000000000,2.5000000000
5/26/2026 1:00:00 PM,0.0760000000,2.6000000000,2.2000000000
5/26/2026 2:00:00 PM,0.0730000000,1.3000000000,2.1000000000
5/26/2026 3:00:00 PM,0.0620000000,-0.6000000000,1.8000000000
5/26/2026 4:00:00 PM,0.0610000000,2.0000000000,1.7000000000
5/26/2026 5:00:00 PM,0.0620000000,2.6000000000,1.8000000000
5/26/2026 6:00:00 PM,0.0720000000,3.3000000000,2.1000000000
5/26/2026 7:00:00 PM,0.0830000000,4.0000000000,2.4000000000
5/26/2026 8:00:00 PM,0.0890000000,5.8000000000,2.5000000000
5/26/2026 9:00:00 PM,0.0800000000,6.2000000000,2.3000000000
5/26/2026 10:00:00 PM,0.0730000000,3.1000000000,2.1000000000
5/26/2026 11:00:00 PM,0.0730000000,6.2000000000,2.1000000000
5/27/2026 12:00:00 AM,0.0830000000,5.7000000000,2.4000000000
5/27/2026 1:00:00 AM,0.0900000000,3.1000000000,2.6000000000
5/27/2026 2:00:00 AM,0.0900000000,6.7000000000,2.6000000000
5/27/2026 3:00:00 AM,0.0980000000,5.9000000000,2.8000000000
5/27/2026 4:00:00 AM,0.1590000000,6.4000000000,4.5000000000
5/27/2026 5:00:00 AM,0.2560000000,8.3000000000,7.2000000000
5/27/2026 6:00:00 AM,0.3250000000,12.5000000000,9.2000000000
5/27/2026 7:00:00 AM,0.2010000000,8.1000000000,5.7000000000
5/27/2026 8:00:00 AM,0.1390000000,6.3000000000,3.9000000000
5/27/2026 9:00:00 AM,0.0880000000,5.4000000000,2.5000000000
5/27/2026 10:00:00 AM,0.1130000000,5.0000000000,3.2000000000
5/27/2026 11:00:00 AM,0.1060000000,5.8000000000,3.0000000000
