Stations: Seattle Duwamish Vly,
QMUs: Pm2.5 Nephelometer | Barometric Pressure | Light Scatter eco_9003_2 | Nitric Oxide (NO_CAPS) | Nitrogen Dioxide (NO2_CAPS) | NItrogen Oxides (NOx_CAPS) | Pm10 MetOne Bam | Pm2.5 Black Carbon_633 | Pm2.5 MetOne Bam | Pm2.5 Partisol  (daily) | Pm2.5 Partisol  (daily) collocated | Pm2.5 uv Absorbance_633 | Temperature | Visual Range | Wind Direction Sonic | Wind Speed Sonic,
Aggregates: 1-Hour Average,
Query Start Date: 4/28/2026 ,
Query End Date: 5/13/2026,
File Creation Date: 5/13/2026,
NOTE: PSCAA developed aggregates in 2017 using standards applicable at that time,,

Observation Time,Seattle Duwamish Vly - Pm25Neph - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - AmbPres - kPa - 1Hr Avg,Seattle Duwamish Vly - LightScatEc2 - bscat10 e-4 - 1Hr Avg,Seattle Duwamish Vly - NO_CAPS - ppb - 1Hr Avg,Seattle Duwamish Vly - NO2_CAPS - ppb - 1Hr Avg,Seattle Duwamish Vly - NOx_CAPS - ppb - 1Hr Avg,Seattle Duwamish Vly - Pm10MetOneBam - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Pm25bc - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Pm25MetOneBam - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Pm25uv - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Temp - degF - 1Hr Avg,Seattle Duwamish Vly - VisualRange - miles - 1Hr Avg,Seattle Duwamish Vly - WD Sonic - deg(frm N) - 1Hr Avg,Seattle Duwamish Vly - WS Sonic - mph - 1Hr Avg
5/5/2026 1:00:00 AM,6.6000000000,1014.0000000000,0.2330000000,0.1150000000,3.0000000000,3.1970000000,15.3000000000,0.1670000000,5.8000000000,0.1850000000,57.0000000000,66.0000000000,182.0000000000,4.4000000000
5/5/2026 2:00:00 AM,6.4000000000,1014.0000000000,0.2250000000,0.0320000000,3.1000000000,3.1410000000,16.9000000000,0.1930000000,8.5000000000,0.1990000000,57.0000000000,67.0000000000,184.0000000000,5.9000000000
5/5/2026 3:00:00 AM,6.3000000000,,0.2230000000,,,,18.4000000000,0.1600000000,8.0000000000,0.1750000000,,67.0000000000,,
5/5/2026 4:00:00 AM,6.3000000000,,0.2220000000,0.4800000000,4.6000000000,5.1290000000,19.5000000000,0.2030000000,4.8000000000,0.2270000000,,68.0000000000,,
5/5/2026 5:00:00 AM,6.2000000000,,0.2210000000,0.8830000000,5.0000000000,5.9750000000,18.1000000000,0.3890000000,5.0000000000,0.4340000000,,68.0000000000,,
5/5/2026 6:00:00 AM,6.4000000000,,0.2250000000,1.8020000000,7.2000000000,9.0220000000,18.4000000000,0.5990000000,7.5000000000,0.6680000000,,67.0000000000,,
5/5/2026 7:00:00 AM,6.7000000000,,0.2380000000,2.0770000000,7.4000000000,9.5400000000,20.6000000000,0.6580000000,7.8000000000,0.7240000000,,65.0000000000,,
5/5/2026 8:00:00 AM,6.9000000000,,0.2440000000,2.8880000000,8.1000000000,11.0170000000,20.7000000000,1.1160000000,7.1000000000,1.2790000000,,64.0000000000,,
5/5/2026 9:00:00 AM,7.3000000000,,0.2580000000,2.1360000000,6.1000000000,8.2930000000,17.1000000000,0.9270000000,5.2000000000,1.0510000000,,62.0000000000,,
5/5/2026 10:00:00 AM,7.3000000000,,0.2580000000,1.7450000000,5.6000000000,7.3840000000,21.5000000000,0.7070000000,8.0000000000,0.8720000000,,61.0000000000,,
